COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32049 
 NOMBRE    : SAN FRANCISCO (SMN) 
 ESTADO    : ZACATECAS 
 MUNICIPIO : GENERAL FRANCISCO R. MURGUÍA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.32472222 ° 
 LONGITUD  : -102.885 ° 
 ALTITUD   : 1680 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2014	8	0	2.5	0.01	38.3	21.7	55	19.2	55.3	8.5	24.2	2.8	235.51	19.6	12
2015	5.6	75.1	27.5	3.2	3.2	18.5	20.8	9.5	15.7	34	4	0.01	217.11	18.1	12
2016	2.7	0.2	6.2	0.01	3.3	5.5	31	33.1	21.5	1.5	8.7	0.2	113.91	9.5	12
2017	0	0	31.5	2.3	4	12	29.54	13.2	34	3.8	0	19	149.34	12.4	12
2018	5.1	7.5	0.01	8.8	19.8	7.8	21.2	11.6	38	12.7	10.5	0.01	143.02	11.9	12
2019	24.1	0.01	3.4	0.01	1.2	18.3	10.9	4	13	23.3	31.9	13.2	143.32	11.9	12
2020	19.5	11.3	2.5	0.01	4	16.2	48.9	0.01	12.5	0	0	0.9	115.82	9.7	12
2021	0.01	0	0	0.01	14.5	22	34.8	26	10.4	12.7	4.7	1.5	126.62	10.6	12
2022	0.01	0.01	0	4.5				25.1	37.8	39.2	2.4		109.02	13.6	8
2023	0	0	0.01	3.1	11.4	2.5							17.01	2.8	6
2024								0	0				0	0	2
MÍNIMA	0	0	0	0	0.01	0	5.5	0	0	0	0	0	0	0	2
MÁXIMA	34	75.1	31.5	32	47.5	68	77.5	73	55.3	40	31.9	32	235.51	21.2	12
MEDIA	6.5	4.8	3.2	4.3	10.5	17.4	23.3	24.1	21.7	15	6.6	6.3	138.6	11.8	11.6
DESV.ST	8.3	10.6	5.9	6.8	9.6	12.8	15.4	15.5	12.5	11.2	8.3	7.3	48.4	4.1	1.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1944					22.56	37.58	61.58	124.57	99.58	23.02	35.01	10.04	413.94	51.7	8
1945	18.54	6.03	6.01	0.01	17.08	40.02	67.05	18.13	42.04	11.04	0.52	1.51	227.98	19	12
1946	16.01	1.06	1.01	36.07	12.02	88.1	51.57	36.59	32.07	11.54	29.07	16.03	331.14	27.6	12
1947	21.53	0.02	0	2.53	9.57	72.56	24.58	114.56	111.53	38.57	2.02	2.02	399.49	33.3	12
1948	27.02	0.02	4.01	0.08	25.62	148.54	119.1	11.6	86.57	36.06	4.53	0.02	463.17	38.6	12
1949	0.04	10.04	0	0.01	11.06	37.59	125.1	87.59	36.59	62.55	0	0.08	370.65	30.9	12
1950	0.01	0.53	3.55	7.06	17.14	40.57	64.16	53.06	29.12	3.55	0.03	0.02	218.8	18.2	12
1951	0.01	0	7.56	0.03	3.04	59.06	23.57	42.66	98.05	37.55	22.01	7.02	300.56	25	12
1952	0	0	0	5.02	0.02	62.07	40.11	30.54	7.04	0.01	0.02	0.05	144.88	12.1	12
1953	0	30.02	0.05	1.02	18.04	15.58	52.09	135.08	102.03	51.64	26	27.55	459.1	38.3	12
1954	2.52	7.54	0.01	1.06	15.05	36.53	58.1	44.57	8.06	20.06	0.02	3.54	197.06	16.4	12
1955	3.02	0.01	4.52	0.01	10.56	52.08	39.15	135.57	29.57	12.03	2.04	0	288.56	24	12
1956	0	0.01	0	3.03	54.59	22.09	44.61	17.59	34.04	14.03	24.5	1.52	216.01	18	12
1957	0.52	1.52	1.01	1.02	21.56	1.13	7.58	29.57	99.53	25.52	1.02	3.03	193.01	16.1	12
1958	14.04	6.01	11.51	3.52	15.58	73.56	23.14	102.07	87.07	142.07	27.55	26.52	532.64	44.4	12
1959	4.52	18.05	0	34.08	7.57	45.56	152.57	85.11	22.6	104.53	4.53	4.53	483.65	40.3	12
1960	7.03	0.03	0	0.02	2.04	4.09	19.59	124.06	21.06	42.05	0.03	16.07	236.07	19.7	12
1961	18.5	0	0	8	10	35.5	121.57	80.61	41	18	0	0.5	333.68	27.8	12
1963	0	0	2.5	9	44.5	19.5	35	87.07	39.5	15.5	5	24	281.57	23.5	12
1964	7	0	0	0	44	34	57	44.5	101	44	1.5	21	354	29.5	12
