COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32005 
 NOMBRE    : CAÑITAS DE FELIPE PESCADOR 
 ESTADO    : ZACATECAS 
 MUNICIPIO : CAÑITAS DE FELIPE PESCADOR 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.60222222 ° 
 LONGITUD  : -102.7338889 ° 
 ALTITUD   : 2046 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1965	3	1	0	53.5	10.5	67.5	60	198.5	110	6	7	61	578	48.2	12
1966	15.5	4	3	18.5	69.5	72.5	76	78	21.5	46	8	0	412.5	34.4	12
1967	0	4	42.5	1	25.5	10	64.5	206	56	58.5	6	15.5	489.5	40.8	12
1969	4.5	3.5	0	0	0	25.5	20	33.5	62	10.5	56	3.5	219	18.2	12
1970	5	39	0	0	0	113.9	46	121	186				510.9	56.8	9
1973										33.5	0	0	33.5	11.2	3
1974	0	0	0	0	3	16.5	49.5	42	47.5	31.2	0	21	210.7	17.6	12
1975	14.02	0	0	0	15.05	41.51	91.5	16	3	0	0	16.5	197.58	16.5	12
1976	0	0	0	0	0	59.2	227.5	5	93.5	13.5	61	57	516.7	43.1	12
1977	7	0	0	0	0	75.5	22.5	94.7	24	0	0	1	224.7	18.7	12
1978	0	2	10	0	37	65	142.5	70.5	145	66	0	3	541	45.1	12
1979	1	16	0	1	3.5	41	52.5	96	28	0	2	28	269	22.4	12
1980	4	6	0	6	0.5	6	26	72.9	21.5	22	10.5	18.5	193.9	16.2	12
