COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32004 
 NOMBRE    : CAMACHO (SMN) 
 ESTADO    : ZACATECAS 
 MUNICIPIO : MAZAPIL 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.44388889 ° 
 LONGITUD  : -102.3736111 ° 
 ALTITUD   : 1665 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1946	8	0	1	28.5	6.5	44.5	44	32.5	29	14	33.5	0	241.5	20.1	12
1947	11.5	0	0	1	6	72.5	0	64	23	6	0	1	185	15.4	12
1948	13	0	0	5	27	91	66	3	74	33	11	0	323	26.9	12
1949	0	0	0	0	6	21	26	30	5	25	0	70	183	15.2	12
1950					10.5	23	50	18	30				131.5	26.3	5
1951		0	5	17	2	22	29	17	37	16	6	0	151	13.7	11
1952	0	0	0	19	0	81	16	10	4	0	0	0	130	10.8	12
1953	0	0	0	0	0	9	9	102	111	55	0	28	314	26.2	12
1954	0	8	0	8	53	40	110	71	14	6	0	8	318	26.5	12
1955	3	0	0	0	5	18.5	136	67	4	13	8	0	254.5	21.2	12
1956	0	0	0	0	19.5	19.5	27.5	19	6	0	26	5	122.5	10.2	12
1957	0	25	0	0	43	8	0	83	91.5	43	4	0	297.5	24.8	12
1958	10	13	28	0	6	52	14.5	74	82.5	150.5	49	57	536.5	44.7	12
1959	15	25	0	34	15	76	26	104	42	124	0	0	461	38.4	12
1960	4	0	0	4	0	0	15	155	0	15.6	0	37	230.6	19.2	12
1961	24.5	0	0	5	0	29.5	50	23.5	29	3	1.5	0	166	13.8	12
1962	0	1	0	4.5	6	31	3	21	32	17	4	26.5	146	12.2	12
1963	0	0	0	10.5	15	62.5	49	34	76	110.2	15	21	393.2	32.8	12
1964	29	0	0	2	23	24	33	21.5	52.5	21	1	9	216	18	12
1965	0	3	0	15.6	0	33	34.5	93	91	3	26	34.5	333.6	27.8	12
1966	15	10.5	14.6	12	30	48.5	31.5	74.5	26	18.5	2	0	283.1	23.6	12
1967	29	0	25	0	40	36.5	65.5	90	40.5	29	0	1.5	357	29.8	12
1968	0	21	40.5	32	5	1	77.5	68	127.2	8.4	22	76.5	479.1	39.9	12
1969	4.5	0	0	0	9	33	25	54.5	49	25.5	0	92.1	292.6	24.4	12
1970	13	42	0	0	0	97	28.4	15	86	21	0	0	302.4	25.2	12
1971	2	0	0	0	14.9	77.5	5	126	21.5	48	0	6	300.9	25.1	12
1972	0	0	0	6	65								71	14.2	5
1991						13.2	115	6.2	84.5	18.1	0	24.5	261.5	37.4	7
1992	78	0	0	0	31	14	0		0	0	0		123	12.3	10
1993	0	0	0	0	21	3	0	12	47	4	19	0	106	8.8	12
1994	17	0	9	16	2		66.9	17.8	42.4	14.5	0	25	210.6	19.1	11
1995	9.5	0	0	0	3.5	2.1	37.8	26.2	28	0	4.3	15.2	126.6	10.5	12
1996	0	3.5	0	2	0	17	23.2	34.7	25.2	45.7	1.6	0	152.9	12.7	12
1997	12	0	11.5	0	0	0	73.7	3	26	40	3.7	4	173.9	14.5	12
1998	0		0	0	0	0	54		31	5	30	0	120	12	10
1999	0	0	0	0	0	132	68	9	0	0	0	0	209	17.4	12
2000	0	0.5	0	3.5	13.5	92.5	20.5	25	19	28	20.5	17.5	240.5	20	12
2001	4.5	1	17	23.6	17	20	48.5	41	30	24.5	6	2.1	235.2	19.6	12
2002	9.5	25.5	0.01	0	22	62	15	48.5	60	54	31	4	331.51	27.6	12
2003	4	12	0	0	5	69	75	132	49	51	0	0	397	33.1	12
2005	13	57	0	0	46	0	61	136	46	89		0	448	40.7	11
2006	5		0	0	58	82	25	101	201	45	0	30	547	49.7	11
2008	3	4	0	0	43	43	14	84	67		0	0	258	23.5	11
2009	0	0	0	0						19	15	0	34	4.9	7
2010	9	18	0	0	0	7.9	86	15	75	0	0	0	210.9	17.6	12
2011	0	0	0					44	2	7	0		53	7.6	7
2012	11	44	0	0	2	6	28	39	57	29	0	7	223	18.6	12
2013	13	0	0	0	30	55	73	44	117	11	35.8	46.8	425.6	35.5	12
2014	15	0	12	0	26.5	51.3	50.8	35	57.1	5.9	38		291.6	26.5	11
2015	6.2	47.4	95	16	5.7	95	100	63	43	89	14	0	574.3	47.9	12
2016	9	0	16	0	42	19	51	119	28		42	0	326	29.6	11
2017	0	0		18	25	2	9	79	61	26	0	63	283	25.7	11
2018	3	15	0	32	2	65.8		50	117	80	4	2	370.8	33.7	11
2019	9	3	6	0	0	41	39						98	14	7
2020	41	0	0	2	1	53	0			0	0	3	100	10	10
2021	0	0	0	0	21	69	90	73			0	8	261	26.1	10
2022	0	0	0	13	1	5	16	98	36	47			216	21.6	10
MÍNIMA	0	0	0	0	0	0	0	3	0	0	0	0	33.5	4.9	1
MÁXIMA	78	57	95	34	65	132	136	155	201	150.5	49	92.1	574.3	49.7	12
MEDIA	8.6	7.5	5.1	5.7	15.2	39.7	41.5	52.5	50	30.2	8.5	14.1	252	22.9	10.9
DESV.ST	12.8	14	14.4	9.3	16.7	32.4	32	38.5	38.3	32.4	13.1	22.2	123.6	10.1	2.1

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2006			196.15										196.15	196.2	1
MÍNIMA			196.15										196.15	196.2	1
MÁXIMA			196.15										196.15	196.2	1
MEDIA			196.2										196.2	196.2	1
DESV.ST															

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1940	20.5	22.3	25.8	32	32.4	31.5	31	32.7	30.4	29.3	26.2	26.9		28.4	12
1962											23.7	21		22.4	2
1963	21.4	23.3	28.5	32.2	27	31.4	32.4	32.2	30.5	28	27.2	20.8		27.9	12
1964	19.9	22.9	26.6	32.5	27.2	30.6	29.5	32.9	31.5	29.2	27.5	24.3		27.9	12
1965	23.5	23.9	28.6	31.5	33.1	35.6	33.6	32.9	32.4	28	28.3	21.8		29.4	12
1966	20	21.4	27.8	30.2	32.6	34.8	33.7	32.5	31.2	29.4	26.9	20.3		28.4	12
1967	19	24.7	28.5	34.3	33.4	34.4	32.6	31.7	29.3	27.3	24.2	23.9		28.6	12
1968	24.7	24.5	25.3	31.1	33.4	35.7	33.6	32.8	29.2	30.1	27.1	22.6		29.2	12
1969	23.1	25.4	26.5	33.9	34.1	36	34	33.7	31.7	31.1	27.1	19.7		29.7	12
1970	20.8	22.3	25.8	31.6	32.4	31.5	31.2	32.7	30.6	29.3	26.3	26.9		28.4	12
1971	23.6	26.5	29.8	31.8	33.8	31.5	32.3	28.5	29.8	29.3	27.6	25.1		29.1	12
1972	23.2	25	28.7	33.8	34.6									29.1	5
1991									23.2	25.9		18.7		22.6	3
1992	18.8	18	20.1	19					30	25.5	22.9			22	7
1993						29.6	33.2	31.5	28.6	29	24.5	22.5		28.4	7
1994	21.1	23.3	25.5	29	33.7		32.7	29	26	23.9	23.6	22.1		26.4	11
1995	22.3	25.3	27.8	30.9	34.9	34.5	32.3	33.6	31.3	29.1	25.5	22.7		29.2	12
1996	23.3	26.6	25.6	29.8	35.2	33.2	33.5	32.8	32.1	27.1	25.4	22.4		28.9	12
1997	22	24.6	25.4	27.1	31	33.1	30.8	31.2	28.2	26.9	24.6	20.3		27.1	12
1998	21		25.4	31.6	34.2	31.7	32.1		27.5	28.5	23.9	22.8		27.9	10
1999	20.9	24.9	24.9	30.1	31.2	31.3	30.3	30.6	29.9	25.4	22.4	19.2		26.8	12
2000	22.3	24	26.9	29.4	31	28.4	30.6	28.9	29.1	25.5	23.6	20.7		26.7	12
2001	20.6	23.8	23.7	30.3	29.2	30.2	30.5	29.7	27.7	25.6	22.2	19.8		26.1	12
2002	19.5	20.4	26.5	29.7	31.6	30	29.4	28.9	27.2	26.6	22.9	20.5		26.1	12
2003	20.7	21.3	24.9	25.6	33.3	31.5	26.6	26.2	26	25	23.8	19.9		25.4	12
2005	21.9	18.4	22	26.3	30.3	31.9	29.5	28.7	28.5	26.2	23.3	20.5		25.6	12
2006	20.9		25	27.3	27.3	30	24.5	27.9	24.8	25.4	21.5	19.2		24.9	11
2008	20.2	23.1	22.9	28.7	28.5	30.4	25.4	25.8	23.8		22.5	21		24.8	11
2009	20.6	23.4	25.3	27.3						23.5	20.5	17.1		22.5	7
2010	16.9	17.5	21.5	23.2	31.2	30.4	21.3	21.9	26.9	23.7	19.6	11.7		22.1	12
2011	12	12.6	13.1					21.2	25.3	27.2	22.5			19.1	7
2012	17.2	18.2	25.4	28.8	29.6	30.2	28.3	27.5	26.3	25.2	22	20.3		24.9	12
2013	18.6	22.7	25.2	31.2	32	33	29.2	29.7	26.9	28.5	21.2	19.2		26.4	12
2014	17.5	24.9	25.7	29.6	29.8	30.8	30.4	30.1	27.1	27.2	19.4			26.6	11
2015	15.9	21.4	21.1	26.9	31.1	30.8	31.1	32.1	30.3	26	25.7	20		26	12
2016	18	24	24.1	30.8	32.7	32.2	32.9	30.3	29.4		22.3	23.6		27.3	11
2017	20.5	23.1		31.3	34.3	35.5	31	31	28.4	28.7	26.4	17.3		28	11
2018	20.5	24.7	30.3	31.3	34.5	31.9		33.4	27	25.5	23.4	18.7		27.4	11
2019	20.9	25.6	28.8	29.9	34.5	31.1	31.7							28.9	7
2020	20.2	23	28.4	33.7	34	33.8	33.5			27.3	26.4	19.4		28	10
2021	16.5	24.2	28.7	31.9	32.5	32.1	30.9	31.2			26	24.7		27.9	10
2022	21.7	22.9	28.5	33	35.3	33.8	34.1	32.1	29	25.7				29.6	10
MÍNIMA	12	12.6	13.1	19	27	28.4	21.3	21.2	23.2	23.5	19.4	11.7		19.1	2
MÁXIMA	24.7	26.6	30.3	34.3	35.3	36	34.1	33.7	32.4	31.1	28.3	26.9		29.7	12
MEDIA	20.3	22.8	25.6	30	32.1	32.1	30.8	30.2	28.5	27.1	24.2	21		26.7	10.4
DESV.ST	2.5	2.8	3.2	3.1	2.3	2	2.9	3	2.3	1.9	2.3	2.9		2.5	2.6

TEMPERATURA MÁXIMA EXTREMA
