COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32059 
 NOMBRE    : VILLA DE COS (SMN) 
 ESTADO    : ZACATECAS 
 MUNICIPIO : VILLA DE COS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.28888889 ° 
 LONGITUD  : -102.3441667 ° 
 ALTITUD   : 1999 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1988-03-16	0	NULO	NULO	NULO
1988-03-17	0	6	25	5.5
1988-03-18	0	7.2	20	3
1988-03-19	0	4.6	17.5	2
1988-03-20	0	7.8	25	2
1988-03-21	0	7.2	25.5	5
1988-03-22	0	5.3	27.5	4
1988-03-23	0	4.3	28.5	3.5
1988-03-24	0	2.3	29	3
1988-03-25	0	3.3	32	2
1988-03-26	0	5.1	28	2
1988-03-27	3	9.1	28	2
1988-03-28	0	7.2	29	2
1988-03-29	0	7.2	29	2
1988-03-30	0	5.5	28.5	6
1988-03-31	0	8.1	NULO	NULO
1988-04-01	0	9.5	28.5	7.5
1988-04-02	0	10.4	27	7
1988-04-03	0	6.3	28.5	4
1988-04-04	0	5.5	29	5
1988-04-05	2.2	5.7	28.5	6.5
1988-04-06	6	1.9	23.5	5
1988-04-07	8.5	7	18.5	2
1988-04-08	5.5	2.6	18	3
1988-04-09	0	16.2	33	4
1988-04-10	0	6.2	26.5	7
1988-04-11	4	7.8	17.5	4
1988-04-12	0	2.8	24.5	8
1988-04-13	0	5.6	25.5	8.5
1988-04-14	0	5	26	6
1988-04-15	0	4.8	25.5	5
1988-04-16	0	5.2	24.5	5.5
1988-04-17	0	3.6	23.5	5.5
1988-04-18	0	9.4	28	8
1988-04-19	0	10.4	31	10
1988-04-20	0	17.8	31	12.5
1988-04-21	0	2.2	29.5	9.5
1988-04-22	0	8.1	29.5	9
1988-04-23	0	5.7	28	6
1988-04-24	0	5.6	33	9.5
1988-04-25	0	6.9	32	6
1988-04-26	0	8.1	33	6
1988-04-27	0	8.3	33.5	10
1988-04-28	0	12.1	32.5	4
1988-04-29	0	7.6	30.5	4.5
1988-04-30	0	7.5	30.5	7
1988-05-01	0	13	32	7.5
1988-05-02	0	9.5	31	8.5
1988-05-03	0	8.7	32	7.5
1988-05-04	0	4.1	30	4.5
1988-05-05	0	11.8	31	6
1988-05-06	0	5.4	33.5	6
1988-05-07	0	7.8	32.5	7
1988-05-08	0	3.2	32	7
1988-05-09	0	6	32	7
1988-05-10	0	8.9	34	6
1988-05-11	0.4	7.5	33.5	5
1988-05-12	0	7.8	29	5
1988-05-13	2.5	15.6	29	2.5
1988-05-14	0	4.3	30	6.5
1988-05-15	0	2.3	31	5
1988-05-16	0	7.2	32.5	5.5
1988-05-17	0	9.8	32.5	3.5
1988-05-18	0	12.8	30	6
1988-05-19	0	13.4	29.5	4.5
1988-05-20	0	11.2	30.5	6
1988-05-21	0	9.1	31	6
1988-05-22	0	9.8	32	5.5
1988-05-23	0	12.1	33	7
1988-05-24	0	3.8	33	5
1988-05-25	0	7.1	17	2.5
1988-05-26	2	7	29	1
1988-05-27	0	7.2	29	3
1988-05-28	0	6.2	30	3.5
1988-05-29	0	11.9	32	5.5
1988-05-30	0	15.6	29.5	6
1988-05-31	NULO	9.5	31.5	5
1988-06-01	0	9.1	18.5	6
1988-06-02	0	4.1	30	6.5
1988-06-03	0	13	33.5	4
1988-06-04	0	8.4	29	3
1988-06-05	0	8.6	15.5	2.5
1988-06-06	0	9	18.5	3.5
1988-06-07	0	4.1	18.5	5.5
1988-06-08	0	3.9	32	2
1988-06-09	0	9.8	33	3.5
1988-06-10	0	10.8	32	6.5
1988-06-11	0	5.4	28.5	3.5
1988-06-12	0	9.9	28.5	3
1988-06-13	12.5	3.1	31.5	3
1988-06-14	0	4.5	27	3.5
1988-06-15	0	6.5	24.5	3.5
1988-06-16	19.5	5.6	23.5	2
1988-06-17	0	3.4	25.5	2
1988-06-18	0	9.5	27.5	2
1988-06-19	0	3.7	26.5	3.5
1988-06-20	3	0.7	26	3.5
1988-06-21	0	13.2	27	2
1988-06-22	0	7	30	2
1988-06-23	0	2.1	30	3
1988-06-24	0	2.8	30	3
1988-06-25	0	15.5	30	3
1988-06-26	16.5	1.8	28	3
1988-06-27	1	5.5	30	2
1988-06-28	0	5	30	2
1988-06-29	0	6	30	2
1988-06-30	0	6.5	30	2
1988-07-01	3.5	8.1	31.5	1
1988-07-02	11	8	28	2
1988-07-03	13.5	7.8	29.5	2
1988-07-04	2	12.7	28	2
1988-07-05	3.5	5.4	29	2
1988-07-06	0	6.4	31	2
1988-07-07	0	9.8	30.5	2
1988-07-08	4.5	2.7	31.5	2
1988-07-09	1.5	8.2	29	2
1988-07-10	5.7	9	28	2
1988-07-11	0	5.3	29.5	2
1988-07-12	0	6.1	29.5	2
1988-07-13	0	7.9	30	2
1988-07-14	0	6.2	32	2
1988-07-15	0	5.9	29	2
1988-07-16	0	7.2	28	2
1988-07-17	0	10.3	27	2
1988-07-18	0	13.9	29	2
1988-07-19	0	5.3	30.5	5.5
1988-07-20	0	7	29.5	2
1988-07-21	0	6.8	27	2
1988-07-22	0	6.2	27	4
1988-07-23	0	3.1	30	4
1988-07-24	0	8.1	32	4.5
1988-07-25	0	5.7	27	4
1988-07-26	0	3.1	27	2
1988-07-27	26.5	1.8	27	2
1988-07-28	7.5	6.2	27	3
1988-07-29	10.5	4.4	30.5	2
1988-07-30	NULO	6.2	NULO	NULO
1988-07-31	0	NULO	NULO	NULO
1988-08-01	0	4.8	NULO	NULO
1988-08-02	0	8.1	30.5	2
1988-08-03	0	4.4	NULO	NULO
1988-08-04	0	5.4	NULO	NULO
1988-08-05	0	2	NULO	NULO
1988-08-06	0	7.5	NULO	NULO
1988-08-07	0	4.7	NULO	NULO
1988-08-08	0	6.6	NULO	NULO
1988-08-09	0	8.6	NULO	NULO
1988-08-10	0	10.9	NULO	NULO
1988-08-11	0	7.8	NULO	NULO
1988-08-12	0	8.5	NULO	NULO
1988-08-13	0	7.6	NULO	NULO
1988-08-14	5.5	10.4	NULO	NULO
1988-08-15	3.3	5.8	NULO	NULO
1988-08-16	1	5	NULO	NULO
1988-08-17	13	5.8	NULO	NULO
1988-08-18	3.5	3.2	NULO	NULO
1988-08-19	19.5	9.1	NULO	NULO
1988-08-20	23.5	12.4	NULO	NULO
1988-08-21	24.5	9.8	NULO	NULO
1988-08-22	4.5	4.6	NULO	NULO
1988-08-23	0	6.7	NULO	NULO
1988-08-24	0	5.1	NULO	NULO
1988-08-25	0	4	NULO	NULO
1988-08-26	0	4.1	NULO	NULO
1988-08-27	0	7.4	NULO	NULO
1988-08-28	0	7.3	NULO	NULO
1988-08-29	0	4.5	NULO	NULO
1988-08-30	0	3	NULO	NULO
1988-08-31	0	3.2	NULO	NULO
1988-09-01	4.5	4.5	NULO	NULO
1988-09-02	2.5	2.4	NULO	NULO
1988-09-03	3.5	3.7	NULO	NULO
1988-09-04	3	3	NULO	NULO
1988-09-05	7.5	5.8	NULO	NULO
1988-09-06	0	4	NULO	NULO
1988-09-07	4.5	2.2	NULO	NULO
1988-09-08	0	8.5	NULO	NULO
1988-09-09	0	3.8	NULO	NULO
1988-09-10	0	3.3	NULO	NULO
1988-09-11	0	5.5	NULO	NULO
1988-09-12	0	5.4	NULO	NULO
1988-09-13	0	6.2	NULO	NULO
1988-09-14	0	5.7	NULO	NULO
1988-09-15	0	4.9	NULO	NULO
1988-09-16	0	3.2	NULO	NULO
1988-09-17	0	4.4	NULO	NULO
1988-09-18	0	3.7	NULO	NULO
1988-09-19	0	5.5	NULO	NULO
1988-09-20	0	5.9	NULO	NULO
1988-09-21	0	4.5	NULO	NULO
1988-09-22	0	7.7	NULO	NULO
1988-09-23	0	5	NULO	NULO
1988-09-24	0	4.6	NULO	NULO
1988-09-25	0	4.1	NULO	NULO
1988-09-26	0	1.2	NULO	NULO
1988-09-27	0	5.3	NULO	NULO
1988-09-28	0	4.8	NULO	NULO
1988-09-29	0	5.7	NULO	NULO
1988-09-30	4	3.3	NULO	NULO
1988-10-01	0	5.3	NULO	NULO
1988-10-02	0	5.1	NULO	NULO
1988-10-03	0	8.3	NULO	NULO
1988-10-04	4	3.1	NULO	NULO
1988-10-05	0	4.8	NULO	NULO
1988-10-06	0	5.4	NULO	NULO
1988-10-07	0	5.2	NULO	NULO
1988-10-08	0	5.3	NULO	NULO
1988-10-09	0	4.9	NULO	NULO
1988-10-10	16.5	10.4	NULO	NULO
1988-10-11	7.5	6.5	NULO	NULO
1988-10-12	0	8.1	NULO	NULO
1988-10-13	0	5.3	NULO	NULO
1988-10-14	0	4.7	NULO	NULO
1988-10-15	0	4.3	NULO	NULO
1988-10-16	0	2.7	NULO	NULO
1988-10-17	0	4.1	NULO	NULO
1988-10-18	0	5.4	NULO	NULO
1988-10-19	0	4.5	NULO	NULO
1988-10-20	0	5.6	NULO	NULO
1988-10-21	0	4.6	NULO	NULO
1988-10-22	0	3	NULO	NULO
1988-10-23	0	9.2	NULO	NULO
1988-10-24	0	1.6	NULO	NULO
1988-10-25	0	10.4	NULO	NULO
1988-10-26	0	4.6	NULO	NULO
1988-10-27	1	5.4	NULO	NULO
1988-10-28	0	3.3	NULO	NULO
1988-10-29	0	4.5	NULO	NULO
1988-10-30	0	4.2	NULO	NULO
1988-10-31	0	5	NULO	NULO
1988-11-01	0	6.6	NULO	NULO
1988-11-02	0	3.1	NULO	NULO
1988-11-03	0	4.9	NULO	NULO
1988-11-04	0	3.8	NULO	NULO
1988-11-05	0	5.5	NULO	NULO
1988-11-06	0	6	NULO	NULO
1988-11-07	0	9.6	NULO	NULO
1988-11-08	0	4.7	NULO	NULO
1988-11-09	0	5.4	NULO	NULO
1988-11-10	0	4.9	NULO	NULO
1988-11-11	0	5.4	NULO	NULO
1988-11-12	0	1.3	NULO	NULO
1988-11-13	0	4.5	NULO	NULO
1988-11-14	0	3.1	NULO	NULO
1988-11-15	0	5	NULO	NULO
1988-11-16	0	5.4	NULO	NULO
1988-11-17	0	4.7	NULO	NULO
1988-11-18	0	2.9	NULO	NULO
1988-11-19	0	5.3	NULO	NULO
1988-11-20	0	3.8	NULO	NULO
1988-11-21	0	4.7	NULO	NULO
1988-11-22	0	4.8	NULO	NULO
1988-11-23	4.5	2.6	NULO	NULO
1988-11-24	0	4	NULO	NULO
1988-11-25	0	4.4	NULO	NULO
1988-11-26	0	3.6	NULO	NULO
1988-11-27	0	6.4	NULO	NULO
1988-11-28	0	3	NULO	NULO
1988-11-29	0	6.4	NULO	NULO
1988-11-30	0	3.5	NULO	NULO
1988-12-01	0	2.5	38	10
1988-12-02	0	2.7	39	10
1988-12-03	0	2.1	37	8
1988-12-04	0	2.6	38	6
1988-12-05	0	3	32	8
1988-12-06	3.5	5	35	5
1988-12-07	0	6.3	31	5
1988-12-08	0.5	3.4	31	11
1988-12-09	0	1.4	30	7.5
1988-12-10	0	1	28.5	7
1988-12-11	0	3	35.5	7
1988-12-12	0	4.1	34	10
1988-12-13	0	1.8	34.5	6
1988-12-14	0	2.1	37.5	7
1988-12-15	0	2.7	36	2
1988-12-16	0	4	34	6
1988-12-17	0	5.8	35	4.5
1988-12-18	0	3.2	37.5	3.5
1988-12-19	0	3.8	31.5	3
1988-12-20	0	4.3	34	11
1988-12-21	0	4.1	38	9
1988-12-22	0	2.1	35	7
1988-12-23	0	2.7	36	7.5
1988-12-24	0	4.3	35.5	6.5
1988-12-25	0	6.8	37.5	10
1988-12-26	0	5.5	32	3.5
1988-12-27	0	4.9	29.5	7.5
1988-12-28	0	5.4	34.5	14.5
1988-12-29	0	4.6	34	15.5
1988-12-30	0	3.5	34	14.5
1988-12-31	0	3.2	34	14.5
1989-01-01	0	5.2	22	1
1989-01-02	0	5.2	25	1
1989-01-03	0	2.5	25.5	0.5
1989-01-04	0	4.9	25	1.5
1989-01-05	0	4	22	1
1989-01-06	0	6.6	24	1.5
1989-01-07	0	3.8	21	1
1989-01-08	0	6	22	1.5
1989-01-09	0	4.3	25.5	1
1989-01-10	0	3.5	24	1.5
1989-01-11	0	3.9	24.5	1
1989-01-12	0	4.6	25	1
1989-01-13	0	5.5	24	1
1989-01-14	0	4.4	25	1.5
1989-01-15	0	3	27	1.5
1989-01-16	0	4.9	25	1
1989-01-17	0	3.3	26	1.5
1989-01-18	0	3.1	26.5	1
1989-01-19	0	3.8	24	1
1989-01-20	0	3	25	1
1989-01-21	0	2.8	25	1
1989-01-22	0	2.5	24	1
1989-01-23	0	5.3	25	1.5
1989-01-24	0	6.2	25	2
1989-01-25	0	5.6	26	2.5
1989-01-26	0	3.1	20	2
1989-01-27	0	3.9	23.5	1.5
1989-01-28	0	7	24	1
1989-01-29	0	3.7	25	2
1989-01-30	0	3.8	25	3
1989-01-31	0	4	26	2.5
1989-02-01	0	3.6	23.5	2
1989-02-02	0	6	25.5	2.5
1989-02-03	0	4	23.5	3.5
1989-02-04	0	5	25.5	4
1989-02-05	0	5.6	27	4
1989-02-06	0	4.5	25	3
1989-02-07	0	4.4	26	2
1989-02-08	0	5.5	25	1.5
1989-02-09	0	5.2	22	1.5
1989-02-10	0	2.8	25	1
1989-02-11	0	5.9	26	1.5
1989-02-12	0	7	28	2
1989-02-13	0	6	27	3.5
1989-02-14	0	4.9	26	3
1989-02-15	0	5.3	27	2
1989-02-16	0	6.7	27	2
1989-02-17	0	3.5	25	2.5
1989-02-18	2.5	4.3	26	2
1989-02-19	0	2.5	26	2.5
1989-02-20	0	4.3	26	2
1989-02-21	0	3.5	24	2
1989-02-22	0	0.7	23	2
1989-02-23	0	6.8	26	2
1989-02-24	0	6.8	27.5	2.5
1989-02-25	0	4.8	28.5	3
1989-02-26	0	6.9	29	4
1989-02-27	0	10	29	4
1989-02-28	0	3.8	29	5
1989-03-01	0	8	27	8
1989-03-02	0	9.7	35	7
1989-03-03	0	5.5	30	10
1989-03-04	0	9.9	31.5	5
1989-03-05	0	12.5	32.5	6
1989-03-06	0	7.2	30	2.5
1989-03-07	0	2.4	29	5
1989-03-08	0	5.6	31	3.5
1989-03-09	0	6.5	31	6.5
1989-03-10	0	5.5	30	4
1989-03-11	0	17.3	30.5	5
1989-03-12	0	7.3	35	5.5
1989-03-13	0	5	36	3.5
1989-03-14	0	10.5	36	8
1989-03-15	0	5	32.5	5
1989-03-16	0	7.1	30	7.5
1989-03-17	0	5.6	27.5	8.5
1989-03-18	0	5.9	27	4.5
1989-03-19	0	3.3	26	8
1989-03-20	0	5.9	24	4
1989-03-21	0	11.5	25	3.5
1989-03-22	0	5.3	24	5
1989-03-23	0	7.5	24	4.5
1989-03-24	0	6	23	3.5
1989-03-25	0	6.1	23.5	2
1989-03-26	0	9.9	24	3
1989-03-27	0	7.9	23	2
1989-03-28	0	8.6	22	5.5
1989-03-29	0	6.1	24	2
1989-03-30	0	8	25	2.5
1989-03-31	0	1.7	25	6
1989-04-01	0	10.8	30	5.5
1989-04-02	0	12.5	30	8.5
1989-04-03	0	6	31	7.5
1989-04-04	0	5.2	31	3.5
1989-04-05	0	5.1	28.5	5.5
1989-04-06	0	7.7	27	7
1989-04-07	0	7.8	29	5.5
1989-04-08	0	9.1	29.5	5.5
1989-04-09	0	8.8	32	6
1989-04-10	0	6.6	29.5	5
1989-04-11	0	8.8	28.5	8
1989-04-12	0	8.7	30.5	5
1989-04-13	0	7.3	25	12
1989-04-14	0	6	28	9
1989-04-15	0	7.7	28.5	5.5
1989-04-16	0	6.3	29	6
1989-04-17	0	9.7	28	4.5
1989-04-18	0	2.8	30	5.5
1989-04-19	0	6.8	30	8.5
1989-04-20	0	5.8	29.5	7.5
1989-04-21	0	5.7	30.5	5
1989-04-22	0	8.2	32	5
1989-04-23	0	8.7	32	7
1989-04-24	0	9.7	31	9.5
1989-04-25	0	8.5	31	9.5
1989-04-26	0	6.9	30.5	8.5
1989-04-27	0	8.7	30	10
1989-04-28	0	4.4	32	8.5
1989-04-29	0	4.3	31.5	6
1989-04-30	NULO	5.1	31.5	6
1989-05-01	0	5.2	32	7
1989-05-02	0	9.7	31.5	5.5
1989-05-03	0	7.7	33	7
1989-05-04	0	9.6	32.5	9
1989-05-05	0	9.3	31	9
1989-05-06	0	5.6	32	10
1989-05-07	0	10.8	33	9.5
1989-05-08	0	5.1	33	8.5
1989-05-09	0	5.2	34	10
1989-05-10	0	6.7	34.5	9
1989-05-11	0	2.73	33	9
1989-05-12	0	12.2	32	7
1989-05-13	0	9.2	32	8.5
1989-05-14	0	10.5	32.5	9
1989-05-15	0	11.4	33	6
1989-05-16	0	7.4	33	9.5
1989-05-17	0	10.3	32	13
1989-05-18	0	11.9	34.5	4.5
1989-05-19	0	9.9	36	13
1989-05-20	0	10	35.5	14
1989-05-21	0	9.6	36.5	12.5
1989-05-22	0	10.1	37	11.5
1989-05-23	0	8	37	10
1989-05-24	0	9	36.5	10.5
1989-05-25	0	10.4	37	8.5
1989-05-26	0	9.6	29.5	13
1989-05-27	10.5	7.6	34.5	10
1989-05-28	0	5.1	34.5	11
1989-05-29	0	7.7	31.5	12
1989-05-30	0	7.6	32	9
1989-05-31	0	9.8	33	10.5
1989-06-01	0	9.2	34	13.5
1989-06-02	0	5.3	33	15.5
1989-06-03	0	4.3	33.5	14
1989-06-04	0	6.6	34	14
1989-06-05	0	2.6	36.5	15
1989-06-06	0	14.2	36	18
1989-06-07	0	6.4	37.5	14
1989-06-08	0	12.1	37.5	14
1989-06-09	0	4.4	36	16
1989-06-10	0	8.3	35.5	16.5
1989-06-11	0	3.1	35	16
1989-06-12	0	10.2	36	15.5
1989-06-13	0	5.1	36.5	15
1989-06-14	2.5	8.3	37.5	13
1989-06-15	0	6.9	29.5	13.5
1989-06-16	0	7	30.5	13
1989-06-17	0	12.2	32.5	10
1989-06-18	0	8.2	32	10
1989-06-19	0	10.3	29	9.5
1989-06-20	0	8.3	30	8.5
1989-06-21	0	3.1	31.5	9
1989-06-22	0	5.3	31	10.5
1989-06-23	0	8.6	32.5	13
1989-06-24	0	8.9	33.5	12
1989-06-25	0	9.9	33	12.5
1989-06-26	0	6.7	33	13
1989-06-27	0	9.8	34	14.5
1989-06-28	0	6.2	33	15
1989-06-29	1.5	9.4	33.5	14.5
1989-06-30	0	8.5	31	12.5
1989-07-01	0	10	32.5	16
1989-07-02	0	8.2	32.5	14.5
1989-07-03	0.5	8.3	33	14
1989-07-04	1.5	4.9	29.5	14.5
1989-07-05	6.5	2	31.5	16
1989-07-06	0	8.5	27.5	11
1989-07-07	0	5.4	29	7.5
1989-07-08	0	6.3	28.5	13
1989-07-09	0	5.4	29.5	14
1989-07-10	0	3.4	30.5	13.5
1989-07-11	0	8.6	30.5	14.5
1989-07-12	0	6.9	29.5	14
1989-07-13	6.2	6.2	27.5	12.5
1989-07-14	0	5.4	29	11
1989-07-15	0	8.4	33	14.5
1989-07-16	0	11.8	35	13.5
1989-07-17	0	9	35	12.5
1989-07-18	0	7.2	34	19
1989-07-19	0	7.7	34.5	14
1989-07-20	0	9.8	31.5	13
1989-07-21	0	11.1	30.5	11
1989-07-22	0	6.1	34	14
1989-07-23	0	5.5	32	14.5
1989-07-24	0	6.9	32	13
1989-07-25	28	11.8	31	15.5
1989-07-26	26	8.8	34.5	10.5
1989-07-27	0	7.9	27	14
1989-07-28	0	3.7	27.5	14
1989-07-29	0	5.5	30	13.5
1989-07-30	0	8.2	31.5	14.5
1989-07-31	8.5	6.3	32	15
1989-08-01	3.5	9.3	25.5	15.5
1989-08-02	0	5.2	27	16
1989-08-03	0	7.8	28	14
1989-08-04	1	7.1	30.5	14
1989-08-05	2.5	6.2	31.5	15
1989-08-06	0	6.2	32	15
1989-08-07	21.5	3.5	31.5	15
1989-08-08	7	12.4	21.5	16
1989-08-09	0	4.1	29	15
1989-08-10	0	7.4	27.5	13
1989-08-11	0	5.7	27.5	14
1989-08-12	0	6	30	15
1989-08-13	0.5	7	29.5	15
1989-08-14	9.5	5.9	28	15
1989-08-15	15.5	6.4	28	15
1989-08-16	0	7.2	27.5	15
1989-08-17	0	5.3	27	14
1989-08-18	0	7.1	28	14.5
1989-08-19	0	6.9	30	15
1989-08-20	0	5.5	31	14
1989-08-21	7	4.6	27	14
1989-08-22	0	1.5	37	15
1989-08-23	6.5	2.6	21	10
1989-08-24	4.5	8.7	25	16
1989-08-25	0	5.4	25.5	15.5
1989-08-26	0	3.2	26.5	16
1989-08-27	0	4.7	26	15
1989-08-28	0	3.4	26	13
1989-08-29	0	6.3	26	14.5
1989-08-30	0	4.3	26.5	14
1989-08-31	0	5.8	26	14
1989-09-01	0	5.3	28.5	12
1989-09-02	0	6.8	28.5	13
1989-09-03	0	8.3	29	14
1989-09-04	0	5.2	29	11
1989-09-05	0	4.5	30	12
1989-09-06	4.6	3.5	27	16
1989-09-07	0	3.3	27	16
1989-09-08	0	4.8	30	13
1989-09-09	0	5.7	29.5	14.5
1989-09-10	0	10	31.5	13
1989-09-11	0	5	30	12
1989-09-12	0	5.3	30.5	15.5
1989-09-13	3.5	8.2	31	15
1989-09-14	0	2.5	26	14
1989-09-15	0	4.2	27	12
1989-09-16	0	3.5	27.5	12.5
1989-09-17	27	11.7	28	12
1989-09-18	2	5.6	28	11.5
1989-09-19	0	3.4	28	14
1989-09-20	0	5.8	28	15
1989-09-21	0	4.7	29	16
1989-09-22	19	8.8	29	12
1989-09-23	0	4.3	28	11
1989-09-24	0	5.2	27.5	11
1989-09-25	0	3.4	27	10.5
1989-09-26	0	6.6	26.5	10.5
1989-09-27	0	3.3	26	8.5
1989-09-28	0	7.9	25	7.5
1989-09-29	0	10	27	5.5
1989-09-30	0	4.1	NULO	NULO
1989-10-01	0	9	28	7
1989-10-02	0	4	30	5
1989-10-03	0	4.9	31	7.5
1989-10-04	0	4.6	30.5	5
1989-10-05	0	5.9	31	10
1989-10-06	0	4.4	30	13
1989-10-07	0	3.3	30	11
1989-10-08	2.5	7	30.5	12
1989-10-09	6.5	2.6	28.5	11
1989-10-10	0	2.4	24	9
1989-10-11	0	5.7	27.5	8
1989-10-12	0	2.9	26.5	6
1989-10-13	0	3.3	26	3.5
1989-10-14	0	5.8	27	5
1989-10-15	0	4.3	29	4.5
1989-10-16	0	3.5	29	3.5
1989-10-17	0	6.4	32	5.5
1989-10-18	6.5	5.2	27.5	4
1989-10-19	0	3.2	26.5	10
1989-10-20	0	1.7	23	5
1989-10-21	0	5.9	28	3.5
1989-10-22	0	5.5	28	4.5
1989-10-23	0	6.2	28	5
1989-10-24	0	4.6	29	5
1989-10-25	2	6.1	30	7
1989-10-26	0	3.2	26	9
1989-10-27	0	3.7	20	7
1989-10-28	0	6.5	30	7
1989-10-29	0	3	29.5	9
1989-10-30	0	3.6	29.5	5.5
1989-10-31	0	5.3	NULO	NULO
1989-11-01	0	2.2	29.5	5
1989-11-02	0	1.2	30	8
1989-11-03	0	6.8	30	3.5
1989-11-04	0	6.2	30.5	7.5
1989-11-05	0	2.6	27	6
1989-11-06	0	1.7	29	3
1989-11-07	0	6.3	30	4
1989-11-08	0	4.9	30	4
1989-11-09	0	3.3	29	3
1989-11-10	1.5	3.3	27	6
1989-11-11	0	3.7	30	6
1989-11-12	0	6.3	29	5.5
1989-11-13	0	4.3	27.5	6.5
1989-11-14	0	4.9	30	7
1989-11-15	0	5.2	29.5	5
1989-11-16	0	4.1	30	5
1989-11-17	29.5	9.8	28	3
1989-11-18	21.1	9.1	30	5.5
1989-11-19	0	2.5	30	5
1989-11-20	0	1.5	28.5	6
1989-11-21	0	2.5	28	5
1989-11-22	0	3	25	4
1989-11-23	0	3.3	26	3
1989-11-24	0	1.6	27.5	2
1989-11-25	0	3.5	27.5	3
1989-11-26	0	4.2	29	4
1989-11-27	0	5.6	30	0
1989-11-28	0	2.9	27.5	0
1989-11-29	0	1.4	28	-2
1989-11-30	0	4.2	29.5	-2
1989-12-01	0	3.4	29	0
1989-12-02	14.5	10.2	25	5.5
1989-12-03	13.5	12.2	22	-2
1989-12-04	1	0.4	26	-2
1989-12-05	0	4.8	26.5	2
1989-12-06	1	9.3	24	3.5
1989-12-07	0	3.6	24	2
1989-12-08	0	1.2	24.5	3
1989-12-09	0	1	23.5	3
1989-12-10	0	2.2	23	2
1989-12-11	0	1.7	24.5	4.5
1989-12-12	7.1	1.2	23	5
1989-12-13	0	4	23	5
1989-12-14	0	1.5	25	4
1989-12-15	0	2.3	23	5
1989-12-16	0	5.4	23	4
1989-12-17	0	3.2	23.5	4
1989-12-18	0	4.7	24	6
1989-12-19	0	1.8	25	8.5
1989-12-20	0	3.8	24.5	5
1989-12-21	0	6.3	23	2
1989-12-22	0	2.5	24	5
1989-12-23	0	4	23	7
1989-12-24	0	3.2	24	5
1989-12-25	0	1.1	22.5	2
1989-12-26	0	1.6	23.5	7
1989-12-27	0	6.1	24	7
1989-12-28	0	4.1	24.5	7
1989-12-29	0	2	24	3.5
1989-12-30	0	2.7	24.5	0
1989-12-31	0	2.4	24	-2
1990-01-01	0	3.69	23.5	3
1990-01-02	0	1.88	21	5
1990-01-03	0	1.44	22	3.5
1990-01-04	0	3.69	24	0
1990-01-05	0	1.52	23.5	5
1990-01-06	0	4.55	24	5
1990-01-07	0	4.04	24.5	2.5
1990-01-08	0	1.33	23	5
1990-01-09	0	4.72	24	4
1990-01-10	0	2.54	23.5	3.5
1990-01-11	0	4.34	23	1
1990-01-12	0	1.69	20.5	5
1990-01-13	6.5	4.11	21.5	5.5
1990-01-14	1	1.89	20	5
1990-01-15	0	1.05	20	4
1990-01-16	0	2.3	22	3.5
1990-01-17	0	3.9	23	4
1990-01-18	0	3.82	23	6
1990-01-19	0	2.85	25.5	8.5
1990-01-20	0	3.83	24	-4
1990-01-21	0	4.43	25	5
1990-01-22	0	2.9	25	4
1990-01-23	0	3.54	25	5
1990-01-24	0	2.73	24.5	5.5
1990-01-25	0	2.15	25	5
1990-01-26	0	2.08	25	6.5
1990-01-27	0	3.62	26.5	7.5
1990-01-28	0	3.6	25.5	4
1990-01-29	0	4.67	25	5
1990-01-30	0	8.16	25	7.5
1990-01-31	0	5.36	24	2.5
1990-02-01	0	1.92	21	10
1990-02-02	0	2.3	21.5	10
1990-02-03	0	1.29	22	10
1990-02-04	0	1.35	24.5	7
1990-02-05	12.5	2.71	23	6
1990-02-06	0	2.31	26	5
1990-02-07	1.5	3.62	25.5	7
1990-02-08	0	3.57	24	6
1990-02-09	0	2.99	24	6
1990-02-10	0	5.68	24	5
1990-02-11	0	4.18	23	4.5
1990-02-12	0	3.58	22.5	0
1990-02-13	0	2.91	23	3.5
1990-02-14	0	5.07	23.5	5.5
1990-02-15	1.5	6.41	24	5
1990-02-16	6.5	1.05	21.5	3.5
1990-02-17	5.5	1.42	16	7
1990-02-18	0	1.05	20.5	9
1990-02-19	0	2.01	21	6
1990-02-20	0	2.18	22	4.5
1990-02-21	0	4.37	23	5
1990-02-22	0	6.49	19.5	3
1990-02-23	0	3.64	23	-3
1990-02-24	0	7.29	23	5
1990-02-25	0	2.74	22	3.5
1990-02-26	0	5.01	23	5
1990-02-27	0.01	0.68	24	5
1990-02-28	0	5.99	25	4
1990-03-01	0	8.12	24.5	7
1990-03-02	0	5.95	24	3
1990-03-03	0	4.49	25	3
1990-03-04	0	7.6	27.5	5.5
1990-03-05	0	5.46	27	4.5
1990-03-06	0	8.14	29	5
1990-03-07	1.5	2.69	29	7
