date,rain,evap,t_max,t_min,month,year
1921-04-21,0.0,,20.4,6.6,4,1921
1921-04-22,0.0,,22.1,8.7,4,1921
1921-04-23,0.0,,20.2,9.4,4,1921
1921-04-24,0.0,,17.2,9.4,4,1921
1921-04-25,0.0,,19.5,6.3,4,1921
1921-04-26,0.0,,18.6,7.4,4,1921
1921-04-27,0.0,,19.4,6.3,4,1921
1921-04-28,0.0,,21.0,7.4,4,1921
1921-04-29,0.0,,21.6,9.4,4,1921
1921-04-30,0.0,,21.8,12.8,4,1921
1921-05-01,0.0,,21.6,8.3,5,1921
1921-05-02,0.0,,22.0,13.3,5,1921
1921-05-03,0.0,,21.4,11.4,5,1921
1921-05-04,0.01,,20.0,10.0,5,1921
1921-05-05,0.0,,21.5,10.7,5,1921
1921-05-06,0.0,,20.4,11.7,5,1921
1921-05-07,0.0,,18.1,8.1,5,1921
1921-05-08,0.0,,20.6,8.4,5,1921
1921-05-09,0.0,,21.4,5.4,5,1921
1921-05-10,0.0,,19.4,4.5,5,1921
1921-05-11,0.0,,22.1,6.2,5,1921
1921-05-12,0.0,,21.6,10.4,5,1921
1921-05-13,0.0,,21.3,10.4,5,1921
1921-05-14,0.0,,20.7,6.7,5,1921
1921-05-15,0.0,,21.3,7.9,5,1921
1921-05-16,0.0,,22.3,7.7,5,1921
1921-05-17,0.0,,19.5,8.6,5,1921
1921-05-18,0.0,,20.3,9.8,5,1921
1921-05-19,0.0,,20.4,9.5,5,1921
1921-05-20,0.0,,23.2,9.9,5,1921
1921-05-21,0.0,,23.9,13.6,5,1921
1921-05-22,0.0,,24.6,11.6,5,1921
1921-05-23,0.0,,23.4,11.3,5,1921
1921-05-24,0.0,,23.5,13.1,5,1921
1921-05-25,0.0,,24.1,13.6,5,1921
1921-05-26,0.01,,19.6,14.0,5,1921
1921-05-27,0.7,,17.4,12.4,5,1921
1921-05-28,0.0,,18.3,11.0,5,1921
1921-05-29,0.0,,21.3,11.4,5,1921
1921-05-30,0.01,,22.6,11.4,5,1921
1921-05-31,0.0,,21.4,13.3,5,1921
1921-06-01,0.0,,24.5,12.3,6,1921
1921-06-02,0.0,,23.9,12.3,6,1921
1921-06-03,0.01,,22.8,18.4,6,1921
1921-06-04,0.0,,24.4,10.7,6,1921
1921-06-05,0.0,,26.0,12.4,6,1921
1921-06-06,0.0,,26.6,13.4,6,1921
1921-06-07,0.0,,23.6,12.7,6,1921
1921-06-08,0.01,,24.4,15.6,6,1921
1921-06-09,0.0,,23.1,12.0,6,1921
1921-06-10,0.5,,24.4,13.5,6,1921
1921-06-11,1.2,,19.6,12.6,6,1921
1921-06-12,0.0,,18.6,13.4,6,1921
1921-06-13,19.5,,15.6,11.4,6,1921
1921-06-14,4.7,,17.4,14.0,6,1921
1921-06-15,0.0,,17.6,12.4,6,1921
1921-06-16,1.2,,18.5,11.7,6,1921
1921-06-17,0.0,,19.0,11.9,6,1921
1921-06-18,0.0,,19.4,12.3,6,1921
1921-06-19,0.0,,18.7,11.4,6,1921
1921-06-20,0.0,,21.3,14.4,6,1921
1921-06-21,0.0,,16.6,12.4,6,1921
1921-06-22,0.0,,20.5,12.7,6,1921
1921-06-23,0.0,,21.4,13.0,6,1921
1921-06-24,0.0,,24.0,12.6,6,1921
1921-06-25,0.0,,21.8,12.2,6,1921
1921-06-26,0.0,,19.8,13.4,6,1921
1921-06-27,0.0,,22.8,11.7,6,1921
1921-06-28,0.0,,22.6,13.4,6,1921
1921-06-29,0.0,,19.5,11.8,6,1921
1921-06-30,0.0,,25.6,14.3,6,1921
1922-06-21,0.0,,30.5,20.0,6,1922
1922-06-22,0.0,,30.0,19.5,6,1922
1922-06-23,0.0,,30.5,19.5,6,1922
1922-06-24,0.0,,32.0,23.5,6,1922
1922-06-25,0.0,,33.0,23.0,6,1922
1922-06-26,0.0,,32.5,25.0,6,1922
1922-06-27,0.0,,38.5,26.0,6,1922
1922-06-28,2.2,,28.0,26.0,6,1922
1922-06-29,0.0,,38.5,25.5,6,1922
1922-06-30,30.5,,33.0,21.0,6,1922
1922-07-01,0.0,,25.5,18.0,7,1922
1922-07-02,0.2,,29.0,18.0,7,1922
1922-07-03,0.0,,31.0,24.0,7,1922
1922-07-04,1.7,,29.0,19.0,7,1922
1922-07-05,10.0,,27.0,19.0,7,1922
1922-07-06,1.5,,26.0,21.5,7,1922
1922-07-07,0.0,,29.0,21.5,7,1922
1922-07-08,0.0,,28.0,26.0,7,1922
1922-07-09,0.0,,29.0,26.0,7,1922
1922-07-10,4.2,,30.0,25.0,7,1922
1922-07-11,0.0,,36.0,25.0,7,1922
1922-07-21,0.01,,32.0,21.5,7,1922
1922-07-22,0.0,,30.0,23.0,7,1922
1922-07-23,12.5,,31.0,27.0,7,1922
1922-07-24,0.0,,30.0,22.0,7,1922
1922-07-25,0.0,,32.0,20.0,7,1922
1922-07-26,0.0,,33.0,23.0,7,1922
1922-07-27,0.0,,33.0,21.5,7,1922
1922-07-28,0.0,,33.0,21.5,7,1922
1922-07-29,0.01,,30.0,23.0,7,1922
1922-07-30,0.0,,29.0,22.0,7,1922
1922-07-31,0.0,,30.0,23.0,7,1922
1922-08-11,0.0,,37.0,28.0,8,1922
1922-08-12,0.0,,36.0,25.5,8,1922
1922-08-13,0.0,,34.0,22.5,8,1922
1922-08-14,0.0,,28.5,22.0,8,1922
1922-08-15,6.2,,31.0,27.0,8,1922
1922-08-16,17.0,,32.0,26.0,8,1922
1922-08-17,0.0,,34.0,26.0,8,1922
1922-08-18,0.0,,29.0,24.5,8,1922
1922-08-19,6.5,,29.0,28.0,8,1922
1922-08-20,0.0,,32.0,23.0,8,1922
1922-08-21,0.0,,34.0,24.0,8,1922
1922-08-22,0.01,,32.0,25.0,8,1922
1922-08-23,0.0,,34.0,24.0,8,1922
1922-08-24,0.0,,35.5,22.0,8,1922
1922-08-25,0.0,,35.5,11.0,8,1922
1922-08-26,0.01,,34.0,24.0,8,1922
1922-08-27,0.0,,33.5,25.0,8,1922
1922-08-28,0.0,,34.5,22.0,8,1922
1922-08-29,0.0,,30.0,18.0,8,1922
1922-08-30,0.0,,34.0,18.0,8,1922
1922-08-31,0.0,,34.0,14.0,8,1922
1922-09-01,0.0,,29.0,10.0,9,1922
1922-09-02,0.0,,33.0,19.0,9,1922
1922-09-03,0.0,,29.0,16.0,9,1922
1922-09-04,0.0,,30.0,13.0,9,1922
1922-09-05,12.5,,35.0,13.5,9,1922
1922-09-06,0.0,,33.0,17.0,9,1922
1922-09-07,0.0,,33.0,13.0,9,1922
1922-09-08,0.0,,33.0,14.0,9,1922
1922-09-09,0.01,,33.0,13.5,9,1922
1922-09-10,0.0,,23.0,12.5,9,1922
1922-09-11,0.0,,27.0,11.0,9,1922
1922-09-12,0.0,,27.0,16.0,9,1922
1922-09-13,0.0,,26.0,15.0,9,1922
1922-09-14,0.0,,34.0,15.0,9,1922
1922-09-15,7.5,,35.0,18.5,9,1922
1922-09-16,10.5,,36.0,18.0,9,1922
1922-09-17,11.2,,27.0,15.0,9,1922
1922-09-18,13.0,,29.5,15.0,9,1922
1922-09-19,0.01,,27.0,13.0,9,1922
1922-09-20,0.0,,26.0,14.5,9,1922
1922-09-21,23.0,,26.0,13.5,9,1922
1922-09-22,2.0,,26.0,14.5,9,1922
1922-09-23,50.0,,27.0,15.0,9,1922
1922-09-24,0.0,,26.0,13.0,9,1922
1922-09-25,0.2,,24.0,13.0,9,1922
1922-09-26,0.01,,24.0,13.5,9,1922
1922-09-27,0.01,,22.0,13.0,9,1922
1922-09-28,0.0,,23.0,12.5,9,1922
1922-09-29,0.0,,25.0,12.5,9,1922
1922-09-30,0.0,,24.0,10.0,9,1922
1922-10-01,0.0,,30.0,14.0,10,1922
1922-10-02,0.0,,24.0,12.0,10,1922
1922-10-03,0.0,,26.0,7.5,10,1922
1922-10-04,0.0,,23.0,8.5,10,1922
1922-10-05,0.0,,27.0,5.0,10,1922
1922-10-06,0.0,,26.5,9.0,10,1922
1922-10-07,0.0,,29.5,7.0,10,1922
1922-10-08,0.0,,26.0,12.0,10,1922
1922-10-09,0.0,,26.0,5.0,10,1922
1922-10-10,0.0,,27.0,2.0,10,1922
1922-10-11,0.0,,25.0,6.0,10,1922
1922-10-12,0.0,,26.0,4.0,10,1922
1922-10-13,0.0,,29.0,7.0,10,1922
1922-10-14,0.0,,21.0,5.0,10,1922
1922-10-15,0.0,,29.5,6.0,10,1922
1922-10-16,0.0,,29.0,6.0,10,1922
1922-10-17,8.0,,27.0,8.0,10,1922
1922-10-18,0.0,,27.5,13.0,10,1922
1922-10-19,0.0,,26.0,10.0,10,1922
1922-10-20,0.0,,28.0,8.0,10,1922
1922-10-21,0.0,,28.0,6.0,10,1922
1922-10-22,0.0,,28.0,6.0,10,1922
1922-10-23,0.0,,30.0,8.0,10,1922
1922-10-24,0.2,,27.0,7.0,10,1922
1922-10-25,0.0,,26.0,10.0,10,1922
1922-10-26,0.0,,26.0,10.0,10,1922
1922-10-27,0.0,,27.0,8.0,10,1922
1922-10-28,0.0,,28.0,3.0,10,1922
1922-10-29,0.0,,28.0,7.0,10,1922
1922-10-30,0.0,,27.0,4.0,10,1922
1922-10-31,0.0,,28.0,3.0,10,1922
1922-11-01,0.0,,27.0,1.0,11,1922
1922-11-02,0.0,,27.0,2.0,11,1922
1922-11-03,0.0,,29.0,6.0,11,1922
1922-11-04,0.0,,30.0,5.0,11,1922
1922-11-05,0.0,,27.0,4.0,11,1922
1922-11-06,0.0,,30.0,3.0,11,1922
1922-11-07,0.0,,29.0,4.0,11,1922
1922-11-08,0.0,,29.0,5.0,11,1922
1922-11-09,0.0,,31.0,5.0,11,1922
1922-11-10,0.0,,30.0,6.0,11,1922
1922-11-11,0.0,,29.0,6.0,11,1922
1922-11-12,0.0,,30.0,7.0,11,1922
1922-11-13,0.0,,29.0,4.0,11,1922
1922-11-14,0.0,,29.0,5.0,11,1922
1922-11-15,0.0,,27.0,5.0,11,1922
1922-11-16,0.0,,27.0,10.0,11,1922
1922-11-17,0.0,,29.5,5.0,11,1922
1922-11-18,0.0,,30.0,4.0,11,1922
1922-11-19,0.0,,28.0,7.0,11,1922
1922-11-20,0.0,,29.0,5.0,11,1922
1922-11-21,0.0,,23.0,3.0,11,1922
1922-11-22,0.01,,25.0,10.0,11,1922
1922-11-23,0.01,,25.0,8.0,11,1922
1922-11-24,0.0,,26.0,5.0,11,1922
1922-11-25,0.0,,21.0,8.0,11,1922
1922-11-26,0.0,,27.0,6.0,11,1922
1922-11-27,0.0,,21.0,4.0,11,1922
1922-11-28,0.01,,25.0,6.0,11,1922
1922-11-29,0.01,,29.0,5.0,11,1922
1922-11-30,0.0,,30.0,6.0,11,1922
1922-12-01,0.0,,26.0,5.0,12,1922
1922-12-02,0.0,,29.0,3.5,12,1922
1922-12-03,0.0,,27.0,5.0,12,1922
1922-12-04,0.0,,26.0,2.0,12,1922
1922-12-05,0.0,,29.0,2.0,12,1922
1922-12-06,0.0,,28.0,2.0,12,1922
1922-12-07,0.0,,29.0,2.0,12,1922
1922-12-08,0.0,,26.0,3.5,12,1922
1922-12-09,0.0,,27.0,2.0,12,1922
1922-12-10,0.0,,26.0,2.0,12,1922
1922-12-11,0.0,,28.0,1.5,12,1922
1922-12-12,0.0,,27.0,-2.0,12,1922
1922-12-13,0.0,,27.0,1.0,12,1922
1922-12-14,0.0,,26.0,1.0,12,1922
1922-12-15,0.0,,28.0,1.0,12,1922
1922-12-16,0.0,,28.0,1.0,12,1922
1922-12-17,0.0,,27.0,1.0,12,1922
1922-12-18,0.0,,28.0,1.0,12,1922
1922-12-19,0.0,,28.0,0.5,12,1922
1922-12-20,0.0,,26.0,-2.5,12,1922
1922-12-21,0.0,,23.0,-2.5,12,1922
1922-12-22,0.0,,20.0,-2.5,12,1922
1922-12-23,0.0,,25.0,-1.0,12,1922
1922-12-24,0.0,,26.0,-1.0,12,1922
1922-12-25,0.0,,24.0,-1.0,12,1922
1922-12-26,0.0,,25.0,-0.5,12,1922
1922-12-27,0.0,,25.0,-3.0,12,1922
1922-12-28,0.0,,19.0,-3.5,12,1922
1922-12-29,0.0,,25.0,4.0,12,1922
1922-12-30,0.0,,20.0,3.5,12,1922
1922-12-31,0.0,,22.0,-4.0,12,1922
1923-01-01,0.0,,22.0,-2.0,1,1923
1923-01-02,0.0,,26.0,5.0,1,1923
1923-01-03,0.0,,26.0,-1.0,1,1923
1923-01-04,0.0,,24.0,-2.5,1,1923
1923-01-05,0.0,,21.0,2.0,1,1923
1923-01-06,0.0,,24.0,2.0,1,1923
1923-01-07,0.0,,26.0,-3.0,1,1923
1923-01-08,0.0,,27.0,-3.5,1,1923
1923-01-09,0.0,,26.0,-2.0,1,1923
1923-01-10,0.0,,24.0,-3.0,1,1923
1923-01-11,0.0,,25.0,-3.5,1,1923
1923-01-12,0.0,,26.0,-3.0,1,1923
1923-01-13,0.0,,28.0,-1.5,1,1923
1923-01-14,0.0,,26.0,4.0,1,1923
1923-01-15,0.0,,25.0,7.0,1,1923
1923-01-16,0.0,,26.5,4.5,1,1923
1923-01-17,0.0,,18.0,8.5,1,1923
1923-01-18,0.0,,20.0,4.0,1,1923
1923-01-19,0.0,,21.0,2.5,1,1923
1923-01-20,0.0,,20.5,1.5,1,1923
1923-01-21,0.0,,24.0,1.0,1,1923
1923-01-22,0.0,,26.0,1.0,1,1923
1923-01-23,0.0,,27.0,-1.0,1,1923
1923-01-24,0.0,,23.0,1.0,1,1923
1923-01-25,0.0,,26.0,2.0,1,1923
1923-01-26,0.0,,24.0,3.0,1,1923
1923-01-27,0.0,,22.0,1.0,1,1923
1923-01-28,0.0,,25.0,4.0,1,1923
1923-01-29,0.0,,28.0,4.0,1,1923
1923-01-30,0.01,,20.0,5.0,1,1923
1923-01-31,0.0,,20.0,10.0,1,1923
1923-02-01,0.0,,26.0,5.0,2,1923
1923-02-02,0.0,,28.0,4.0,2,1923
1923-02-03,0.0,,24.0,8.0,2,1923
1923-02-04,0.0,,23.0,6.0,2,1923
1923-02-05,0.0,,20.0,5.0,2,1923
1923-02-06,0.0,,17.0,5.0,2,1923
1923-02-07,0.0,,23.0,2.0,2,1923
1923-02-08,0.0,,23.0,4.0,2,1923
1923-02-09,0.0,,22.0,7.0,2,1923
1923-02-10,0.0,,23.0,5.0,2,1923
1923-02-11,0.0,,27.0,7.0,2,1923
1923-02-12,0.0,,26.0,6.0,2,1923
1923-02-13,0.0,,22.0,8.0,2,1923
1923-02-14,10.0,,24.0,6.0,2,1923
1923-02-15,12.5,,27.0,7.0,2,1923
1923-02-16,0.0,,28.0,8.5,2,1923
1923-02-17,4.7,,29.0,6.0,2,1923
1923-02-18,0.0,,27.0,3.0,2,1923
1923-02-19,0.0,,24.0,6.0,2,1923
1923-02-20,0.0,,15.0,0.0,2,1923
1923-02-21,0.0,,22.0,6.0,2,1923
1923-02-22,0.0,,26.0,3.0,2,1923
1923-02-23,0.0,,27.0,1.0,2,1923
1923-02-24,0.0,,24.0,5.0,2,1923
1923-02-25,0.0,,21.0,2.0,2,1923
1923-02-26,0.0,,26.0,4.0,2,1923
1923-02-27,0.0,,25.0,3.0,2,1923
1923-02-28,0.0,,24.0,5.0,2,1923
1923-03-01,0.0,,25.0,5.0,3,1923
1923-03-02,0.0,,23.0,4.5,3,1923
1923-03-03,0.0,,24.0,5.0,3,1923
1923-03-04,0.0,,26.0,3.0,3,1923
1923-03-05,0.0,,27.0,4.0,3,1923
1923-03-06,0.0,,26.0,3.0,3,1923
1923-03-07,0.0,,25.0,5.0,3,1923
1923-03-08,0.0,,27.0,3.0,3,1923
1923-03-09,0.0,,26.0,4.0,3,1923
1923-03-10,0.0,,34.0,7.0,3,1923
1923-03-11,0.0,,34.0,10.0,3,1923
1923-03-12,0.0,,29.0,5.0,3,1923
1923-03-13,0.0,,28.0,3.0,3,1923
1923-03-14,0.0,,27.0,3.0,3,1923
1923-03-15,0.0,,27.0,1.0,3,1923
1923-03-16,0.0,,26.0,0.0,3,1923
1923-03-17,0.0,,25.0,5.0,3,1923
1923-03-18,0.0,,26.0,4.0,3,1923
1923-03-19,0.0,,23.0,3.0,3,1923
1923-03-20,0.0,,22.0,3.0,3,1923
1923-03-21,0.0,,12.0,1.0,3,1923
1923-03-22,0.0,,23.0,6.0,3,1923
1923-03-23,0.0,,26.0,7.0,3,1923
1923-03-24,7.5,,28.0,8.0,3,1923
1923-03-25,0.01,,27.0,9.0,3,1923
1923-03-26,8.2,,24.0,4.0,3,1923
1923-03-27,0.01,,28.0,5.0,3,1923
1923-03-28,0.0,,29.0,5.5,3,1923
1923-03-29,0.01,,28.0,5.0,3,1923
1923-03-30,0.0,,29.0,6.0,3,1923
1923-03-31,0.0,,28.0,4.0,3,1923
1923-04-01,0.0,,27.5,5.5,4,1923
1923-04-02,0.0,,28.0,6.0,4,1923
1923-04-03,0.0,,29.0,5.0,4,1923
1923-04-04,0.0,,29.0,3.0,4,1923
1923-04-05,0.0,,32.0,4.0,4,1923
1923-04-06,0.0,,33.0,4.5,4,1923
1923-04-07,0.0,,35.0,12.0,4,1923
1923-04-08,0.0,,33.0,13.0,4,1923
1923-04-09,0.0,,34.0,12.5,4,1923
1923-04-10,0.0,,30.0,13.0,4,1923
1923-04-11,0.0,,29.0,7.0,4,1923
1923-04-12,0.0,,29.5,2.5,4,1923
1923-04-13,0.0,,28.5,2.0,4,1923
1923-04-14,0.0,,30.0,3.5,4,1923
1923-04-15,0.0,,29.0,3.0,4,1923
1923-04-16,0.0,,30.0,13.0,4,1923
1923-04-17,0.0,,32.0,7.0,4,1923
1923-04-18,0.0,,31.0,6.0,4,1923
1923-04-19,0.0,,32.0,12.0,4,1923
1923-04-20,0.0,,30.0,10.0,4,1923
1923-04-21,0.0,,28.0,2.0,4,1923
1923-04-22,0.0,,29.0,4.0,4,1923
1923-04-23,0.0,,28.0,3.0,4,1923
1923-04-24,0.0,,30.0,6.0,4,1923
1923-04-25,0.0,,31.0,7.0,4,1923
1923-04-26,0.0,,33.0,12.0,4,1923
1923-04-27,0.0,,35.0,13.0,4,1923
1923-04-28,0.0,,36.0,12.0,4,1923
1923-04-29,0.0,,38.0,12.0,4,1923
1923-04-30,0.0,,37.0,10.0,4,1923
1923-05-01,0.0,,27.0,11.0,5,1923
1923-05-02,0.0,,36.0,12.0,5,1923
1923-05-03,0.0,,36.5,11.5,5,1923
1923-05-04,0.0,,36.0,12.0,5,1923
1923-05-05,0.0,,35.0,13.0,5,1923
1923-05-06,0.0,,35.5,12.5,5,1923
1923-05-07,0.01,,37.0,13.0,5,1923
1923-05-08,0.0,,36.0,12.0,5,1923
1923-05-09,0.0,,36.5,11.5,5,1923
1923-05-10,0.0,,32.0,10.0,5,1923
1923-05-11,0.0,,31.0,9.5,5,1923
1923-05-12,0.0,,31.5,10.0,5,1923
1923-05-13,0.0,,33.0,11.0,5,1923
1923-05-14,0.0,,32.0,10.5,5,1923
1923-05-15,0.0,,33.0,4.0,5,1923
1923-05-16,0.0,,30.0,6.0,5,1923
1923-05-17,0.0,,35.0,7.0,5,1923
1923-05-18,0.0,,36.0,14.0,5,1923
1923-05-19,0.0,,32.0,18.0,5,1923
1923-05-20,0.0,,29.0,10.0,5,1923
1923-05-21,0.01,,33.0,10.5,5,1923
1923-05-22,0.0,,39.0,12.0,5,1923
1923-05-23,0.01,,38.0,18.0,5,1923
1923-05-24,2.5,,39.0,15.0,5,1923
1923-05-25,0.01,,37.0,15.0,5,1923
1923-05-26,0.0,,36.0,15.0,5,1923
1923-05-27,0.0,,36.0,14.0,5,1923
1923-05-28,0.0,,38.0,14.0,5,1923
1923-05-29,0.0,,35.0,13.0,5,1923
1923-05-30,0.0,,36.0,14.0,5,1923
1923-05-31,0.0,,37.0,10.0,5,1923
1923-06-01,0.01,,35.0,12.0,6,1923
1923-06-02,0.0,,36.0,13.0,6,1923
1923-06-03,0.0,,39.0,13.0,6,1923
1923-06-04,0.0,,37.0,12.5,6,1923
1923-06-05,0.0,,38.0,11.5,6,1923
1923-06-06,0.0,,37.0,10.0,6,1923
1923-06-07,0.0,,36.5,13.0,6,1923
1923-06-08,0.0,,37.0,13.5,6,1923
1923-06-09,0.01,,37.5,14.0,6,1923
1923-06-10,0.0,,38.0,14.0,6,1923
1923-06-11,0.0,,37.0,12.5,6,1923
1923-06-12,0.0,,37.5,12.0,6,1923
1923-06-13,0.01,,37.0,13.0,6,1923
1923-06-14,0.01,,33.0,13.5,6,1923
1923-06-15,3.0,,36.0,12.5,6,1923
1923-06-16,0.0,,37.5,12.5,6,1923
1923-06-17,0.0,,38.0,13.0,6,1923
1923-06-18,14.2,,36.0,14.0,6,1923
1923-06-19,0.0,,34.0,15.0,6,1923
1923-06-20,2.2,,27.0,10.0,6,1923
1923-06-21,0.01,,31.0,14.0,6,1923
1923-06-22,0.01,,32.0,14.0,6,1923
1923-06-23,0.01,,34.0,16.0,6,1923
1923-06-24,0.0,,34.5,15.0,6,1923
1923-06-25,0.0,,34.5,13.5,6,1923
1923-06-26,0.0,,35.0,14.0,6,1923
1923-06-27,0.01,,34.0,13.0,6,1923
1923-06-28,0.01,,34.5,14.5,6,1923
1923-06-29,0.0,,35.0,15.0,6,1923
1923-06-30,0.0,,36.0,14.0,6,1923
1923-07-01,0.0,,36.0,12.0,7,1923
1923-07-02,0.0,,35.0,11.0,7,1923
1923-07-03,0.0,,35.0,10.0,7,1923
1923-07-04,0.0,,33.0,9.0,7,1923
1923-07-05,0.0,,31.0,13.0,7,1923
1923-07-06,0.0,,32.0,10.0,7,1923
1923-07-07,12.5,,31.0,13.0,7,1923
1923-07-08,20.2,,30.0,10.0,7,1923
1923-07-09,0.01,,33.0,11.0,7,1923
1923-07-10,14.5,,30.0,9.0,7,1923
1923-07-11,5.7,,33.0,10.0,7,1923
1923-07-12,0.0,,29.0,14.0,7,1923
1923-07-13,0.0,,30.0,12.0,7,1923
1923-07-14,0.0,,31.0,13.0,7,1923
1923-07-15,0.0,,32.0,11.5,7,1923
1923-07-16,0.01,,32.0,13.0,7,1923
1923-07-17,0.0,,31.5,12.0,7,1923
1923-07-18,0.0,,34.0,12.0,7,1923
1923-07-19,0.0,,35.0,9.0,7,1923
