date,rain,evap,t_max,t_min,bayo_price,urea_price
1998-01-31,0.0053091397849462,4.062764976958525,20.10725806451613,-0.7538978494623656,5.25,1680.0
1998-02-28,0.1458695652173913,6.037474489795918,20.81444099378882,-0.3321428571428571,5.58,1713.6
1998-03-31,0.0014381720430107,7.880207373271889,25.28010752688172,3.2543010752688173,6.0,1747.2
1998-04-30,0.0154444444444444,9.944880952380952,28.87472222222222,6.098888888888889,6.0,1780.8
1998-05-31,2.932551319648094e-05,10.59727047146402,32.480351906158354,10.318181818181818,6.0,1814.4
1998-06-30,1.3665652173913043,8.597794871794871,31.623768115942028,14.480579710144928,6.0,1848.0
1998-07-31,0.7971236559139785,8.096823821339951,29.247849462365597,13.422311827956989,7.0,1881.6
1998-08-31,4.653562412342216,5.764665012406947,26.43562412342216,13.224824684431976,7.75,1915.2
1998-09-30,1.91381461352657,4.344833333333333,24.7955193236715,11.822524154589372,6.7,1948.8
1998-10-31,0.6652454417952314,4.184519061583578,25.31220196353436,10.046844319775596,6.0,1982.4
1998-11-30,0.5650144927536231,3.960138888888889,24.188550724637683,5.515797101449276,5.62,2016.0
1998-12-31,0.0107795698924731,3.90082991202346,22.14261337073399,2.3106767180925667,5.0,2049.6
1999-01-31,0.002932551319648,4.690439882697947,21.33460410557185,-1.072873900293255,5.0,2083.2
1999-02-28,0.026965909090909,5.640227272727273,24.055844155844152,3.171753246753247,4.75,2116.8
1999-03-31,0.0104105571847507,7.951260997067449,25.578364055299534,4.447242703533026,4.5,2150.4
1999-04-30,0.006578947368421,9.11921212121212,28.82560606060606,8.647575757575758,4.5,2184.0
1999-05-31,0.097462971945994,9.908306451612903,30.82078853046595,9.82078853046595,4.5,2217.6
1999-06-30,3.2321483918128653,6.976118686868687,28.72877777777778,13.71281746031746,4.2,2251.2
1999-07-31,2.5391158945751475,5.976378299120234,26.11233486943164,11.844016897081412,4.0,2284.8
1999-08-31,1.070405669599218,6.635924317617866,27.66158357771261,12.37859237536657,3.62,2318.4
1999-09-30,1.1931233766233766,5.7404145299145295,26.4,11.290151515151514,3.5,2352.0
1999-10-31,0.1284165584739838,5.299190003544843,24.701290322580647,6.852741935483871,4.62,2385.6
1999-11-30,0.0715873015873015,4.3882619047619045,21.94560606060606,1.471969696969697,5.0,2419.2
1999-12-31,0.2356304985337243,3.83463133640553,19.79824046920821,-0.2940161988549085,5.0,2452.8
2000-01-31,2.688172043010753e-05,4.637118279569893,22.026450337880917,0.812769348463598,5.12,2486.4
2000-02-29,0.0145833333333333,5.702896551724138,24.51876788878288,2.479804902743433,5.4,2520.0
2000-03-31,0.0004569892473118,7.651053763440861,26.484757108249397,4.639385439245187,5.17,1680.0
2000-04-30,0.0445320910973084,8.628311111111111,29.23565217391304,7.648405797101449,6.0,1680.0
2000-05-31,1.029475206887549,7.970344086021505,30.118621700879764,11.635190615835777,7.4,1800.0
2000-06-30,4.200074565531087,6.465807692307692,26.053434343434343,12.76683261183261,8.75,2232.5
2000-07-31,1.6484633324833184,7.053032258064516,27.907280377406604,11.7149751370649,8.75,2665.0
2000-08-31,2.151303892460975,5.850795698924731,26.016715542521997,11.177126099706744,7.8,1800.0
2000-09-30,1.096288851245373,6.288309523809525,26.66888888888889,10.80904761904762,8.0,2850.0
2000-10-31,0.8468742008342289,4.329118279569892,24.99985974754558,8.24586255259467,6.75,1950.0
2000-11-30,0.1479493177387914,4.285911111111111,23.046507936507933,5.182698412698413,6.2,1970.0
2000-12-31,0.461882558301913,3.562493796526055,20.780924451892197,1.4451550062840386,6.4,2020.0
2001-01-31,0.049574780058651,3.987841191066997,20.38125960061444,2.9078341013824884,6.5,3175.0
2001-02-28,0.0290646258503401,5.420535714285714,23.31607142857143,4.037857142857143,6.75,2050.0
2001-03-31,0.2880491551459293,7.038817204301076,23.95193548387097,3.4520967741935484,7.25,2040.0
2001-04-30,0.5936,8.402785353535354,29.741929824561403,9.376491228070174,7.25,2025.0
2001-05-31,0.7418433179723503,7.622016129032258,28.14306451612903,10.489354838709678,9.0,2020.0
2001-06-30,1.1168888888888888,7.441833333333333,28.473333333333336,12.343,8.75,2085.0
2001-07-31,1.794378419166195,7.089645161290322,28.46336706725701,12.620472274931478,9.5,2020.0
2001-08-31,2.519838709677419,6.295483870967741,27.350537634408603,12.536712749615974,9.7,3050.0
2001-09-30,1.919126984126984,4.6455,25.19333333333333,11.674833333333334,10.12,3075.0
2001-10-31,0.4571129032258064,4.9617302052785925,24.80509337860781,7.1986417657045845,9.0,4100.0
2001-11-30,0.2023333333333333,4.151833333333333,22.38035087719298,3.5745614035087723,8.62,4137.179487179487
2001-12-31,0.1601612903225806,3.463763440860215,20.447741935483872,2.3221582181259603,7.5,4174.358974358975
2002-01-31,0.26,4.118330889540567,21.34531490015361,0.8184331797235023,7.62,4211.538461538462
2002-02-28,1.4971000417710945,4.732045454545455,21.046316234827263,2.874308473389356,8.25,4248.717948717949
2002-03-31,0.0027096774193548,7.38038660801564,25.706621392190154,5.504244482173174,8.12,4285.897435897436
2002-04-30,0.1359047619047619,7.763916666666666,29.1835,9.2635,8.56,4323.076923076923
2002-05-31,0.4767588325652842,8.206505376344086,30.78532258064516,11.83532258064516,8.75,4360.25641025641
2002-06-30,2.1948333333333334,7.368515151515152,28.27888888888889,12.602222222222222,9.0,4397.4358974358975
2002-07-31,3.4295229202037354,5.492478005865102,26.04001027830487,11.982036685642,8.875,4434.615384615385
2002-08-31,3.427718084545646,5.539978494623655,26.276714669738865,11.790973502304148,8.75,4471.794871794872
