,Date,Price
178,201-jul.-15,"5.022,26"
179,201-ago.-15,"5.167,32"
180,201-sep.-15,"4.649,95"
181,201-oct.-15,"4.581,96"
182,201-nov.-15,"4.336,76"
183,201-dic.-15,"4.160,45"
184,202-ene.-15,"4.050,68"
185,202-feb.-15,"4.031,54"
186,202-mar.-15,"5.159,54"
187,202-abr.-15,"5.698,06"
188,202-may.-15,"4.738,25"
189,202-jun.-15,"4.501,21"
190,202-jul.-15,"4.804,40"
191,202-ago.-15,"5.540,69"
192,202-sep.-15,"5.433,22"
193,202-oct.-15,"5.211,88"
194,202-nov.-15,"5.002,79"
195,202-dic.-15,"4.895,45"
196,202-ene.-15,"5.281,49"
197,202-feb.-15,"6.810,42"
198,202-mar.-15,"7.324,18"
199,202-abr.-15,"6.567,02"
200,202-may.-15,"6.623,22"
201,202-jun.-15,"7.874,39"
202,202-jul.-15,"8.822,26"
203,202-ago.-15,"8.979,79"
204,202-sep.-15,"8.401,90"
205,202-oct.-15,"14.192,73"
206,202-nov.-15,"18.741,81"
207,202-dic.-15,"18.697,32"
208,202-ene.-15,"17.351,58"
209,202-feb.-15,"15.211,74"
210,202-mar.-15,"17.935,29"
211,202-abr.-15,"18.590,86"
212,202-may.-15,"14.185,89"
213,202-jun.-15,"13.793,17"
214,202-jul.-15,"12.354,74"
215,202-ago.-15,"11.896,50"
216,202-sep.-15,"13.614,28"
217,202-oct.-15,"12.720,84"
218,202-nov.-15,"11.454,13"
219,202-dic.-15,"10.212,30"
220,202-ene.-15,"8.422,52"
221,202-feb.-15,"6.652,99"
222,202-mar.-15,"5.765,24"
223,202-abr.-15,"5.669,04"
224,202-may.-15,"5.842,84"
225,202-jun.-15,"4.960,01"
226,202-jul.-15,"5.652,18"
227,202-ago.-15,"6.546,70"
228,202-sep.-15,"6.579,74"
229,202-oct.-15,"7.433,50"
230,202-nov.-15,"6.713,89"
231,202-dic.-15,"6.108,31"
232,202-ene.-15,"5.733,76"
233,202-feb.-15,"6.003,52"
234,202-mar.-15,"5.537,58"
235,202-abr.-15,"5.379,34"
